Classname,Grand,Fee
5T1,5,1000000
5T2,5,1000000
6TC,6,1300000
6TC1,6,1300000
6TC2,6,1300000
6TC3,6,1300000
6T1,6,1300000
6T2,6,1300000
6T3,6,1300000
6T4,6,1300000
6T5,6,1300000
6T27,6,1300000
6T37,6,1300000
6AC1,6,1000000
6AC2,6,1000000
6A1,6,1000000
6A2,6,1000000
6V1,6,1000000
6V2,6,1000000
6KHTN1,6,1000000
6KHTN2,6,1000000
7CĐ,7,5000000
7TCO1,7,1300000
7TCO2,7,1300000
7TC1,7,1300000
7TC2,7,1300000
7TC3,7,1300000
7T1,7,1300000
7T2,7,1300000
7T3,7,1300000
7T4,7,1300000
7T5,7,1300000
7T6,7,1300000
7T27,7,1300000
7T37,7,1300000
